2025-10-17 11:27:44,049 - INFO:   Interval 14, Epoch 2000, Loss: 1.512e-14, LR: 6.55e-04
2025-10-17 11:27:44,784 - INFO:   Interval 14, Epoch 2500, Loss: 1.512e-14, LR: 5.00e-04
2025-10-17 11:27:45,498 - INFO:   Interval 14, Epoch 3000, Loss: 1.512e-14, LR: 3.46e-04
2025-10-17 11:27:46,234 - INFO:   Interval 14, Epoch 3500, Loss: 1.512e-14, LR: 2.07e-04
2025-10-17 11:27:46,971 - INFO:   Interval 14, Epoch 4000, Loss: 1.512e-14, LR: 9.62e-05
2025-10-17 11:27:47,769 - INFO:   Interval 14, Epoch 4500, Loss: 1.512e-14, LR: 2.54e-05
2025-10-17 11:27:48,557 - INFO:   Interval 14, Epoch 4999, Loss: 1.512e-14, LR: 1.00e-06
2025-10-17 11:27:48,557 - INFO: --- Training Interval[15]: (3.8125, 4.0) ---
2025-10-17 11:27:48,559 - INFO:   Interval 15, Epoch    0, Loss: 9.315e-04, LR: 1.00e-03
2025-10-17 11:27:49,292 - INFO:   Interval 15, Epoch  500, Loss: 1.444e-14, LR: 9.75e-04
2025-10-17 11:27:50,044 - INFO:   Interval 15, Epoch 1000, Loss: 1.444e-14, LR: 9.04e-04
2025-10-17 11:27:50,805 - INFO:   Interval 15, Epoch 1500, Loss: 1.444e-14, LR: 7.94e-04
2025-10-17 11:27:51,542 - INFO:   Interval 15, Epoch 2000, Loss: 1.444e-14, LR: 6.55e-04
2025-10-17 11:27:52,289 - INFO:   Interval 15, Epoch 2500, Loss: 1.444e-14, LR: 5.00e-04
2025-10-17 11:27:53,016 - INFO:   Interval 15, Epoch 3000, Loss: 1.444e-14, LR: 3.46e-04
2025-10-17 11:27:53,718 - INFO:   Interval 15, Epoch 3500, Loss: 1.444e-14, LR: 2.07e-04
2025-10-17 11:27:54,448 - INFO:   Interval 15, Epoch 4000, Loss: 1.444e-14, LR: 9.62e-05
2025-10-17 11:27:55,202 - INFO:   Interval 15, Epoch 4500, Loss: 1.444e-14, LR: 2.54e-05
2025-10-17 11:27:55,940 - INFO:   Interval 15, Epoch 4999, Loss: 1.444e-14, LR: 1.00e-06
2025-10-17 11:27:58,935 - INFO: Final MAE: 2.493e-03, MSE: 1.415e-05
2025-10-17 11:27:58,941 - INFO: Deployable parameters saved to: log/hswish/qpwl_e16b8.json
